instrument,timeframe,timestamp,open,high,low,close
SPX500,M15,2023-06-01 12:00:00+00:00,4193.49,4193.74,4191.74,4192.24
SPX500,M15,2023-06-01 12:15:00+00:00,4192.24,4192.49,4190.99,4191.49
SPX500,M15,2023-06-01 12:30:00+00:00,4191.49,4192.49,4189.99,4192.24
SPX500,M15,2023-06-01 12:45:00+00:00,4192.24,4193.24,4190.99,4193.24
SPX500,M15,2023-06-01 13:00:00+00:00,4193.24,4193.99,4191.49,4193.49
SPX500,M15,2023-06-01 13:15:00+00:00,4193.49,4195.24,4192.24,4195.24
SPX500,M15,2023-06-01 13:30:00+00:00,4195.24,4196.99,4194.74,4194.99
SPX500,M15,2023-06-01 13:45:00+00:00,4194.99,4195.99,4191.74,4191.74
SPX500,M15,2023-06-01 14:00:00+00:00,4191.74,4196.24,4191.74,4195.99
SPX500,M15,2023-06-01 14:15:00+00:00,4195.99,4196.24,4191.74,4191.99
SPX500,M15,2023-06-01 14:30:00+00:00,4191.99,4193.49,4190.49,4193.24
SPX500,M15,2023-06-01 14:45:00+00:00,4192.99,4192.99,4189.49,4190.74
SPX500,M15,2023-06-01 15:00:00+00:00,4190.74,4192.49,4186.74,4187.49
SPX500,M15,2023-06-01 15:15:00+00:00,4187.49,4188.99,4183.24,4185.99
SPX500,M15,2023-06-01 15:30:00+00:00,4185.74,4191.99,4181.99,4184.74
SPX500,M15,2023-06-01 15:45:00+00:00,4184.74,4185.49,4181.49,4184.24
SPX500,M15,2023-06-01 16:00:00+00:00,4184.24,4186.74,4181.74,4185.49
SPX500,M15,2023-06-01 16:15:00+00:00,4185.49,4187.24,4184.24,4184.49
SPX500,M15,2023-06-01 16:30:00+00:00,4184.74,4186.49,4173.99,4176.74
SPX500,M15,2023-06-01 16:45:00+00:00,4176.74,4177.49,4171.74,4175.74
SPX500,M15,2023-06-01 17:00:00+00:00,4175.74,4189.24,4175.74,4189.24
SPX500,M15,2023-06-01 17:15:00+00:00,4188.99,4190.99,4177.99,4183.99
SPX500,M15,2023-06-01 17:30:00+00:00,4183.99,4196.49,4182.24,4195.49
SPX500,M15,2023-06-01 17:45:00+00:00,4195.49,4200.99,4194.24,4197.49
SPX500,M15,2023-06-01 18:00:00+00:00,4197.49,4202.49,4195.49,4201.74
SPX500,M15,2023-06-01 18:15:00+00:00,4201.74,4206.99,4200.74,4205.49
SPX500,M15,2023-06-01 18:30:00+00:00,4205.74,4210.99,4204.74,4209.49
SPX500,M15,2023-06-01 18:45:00+00:00,4209.49,4214.74,4208.99,4214.49
SPX500,M15,2023-06-01 19:00:00+00:00,4214.49,4218.99,4214.49,4216.99
SPX500,M15,2023-06-01 19:15:00+00:00,4216.99,4222.24,4215.24,4220.74
SPX500,M15,2023-06-01 19:30:00+00:00,4221.24,4221.99,4218.99,4218.99
SPX500,M15,2023-06-01 19:45:00+00:00,4218.99,4221.49,4216.74,4220.74
SPX500,M15,2023-06-01 20:00:00+00:00,4220.74,4221.74,4218.24,4221.49
SPX500,M15,2023-06-01 20:15:00+00:00,4221.49,4223.24,4216.74,4218.99
SPX500,M15,2023-06-01 20:30:00+00:00,4218.99,4219.99,4217.24,4219.74
SPX500,M15,2023-06-01 20:45:00+00:00,4219.74,4224.74,4219.74,4224.74
SPX500,M15,2023-06-01 21:00:00+00:00,4224.74,4226.24,4221.49,4224.24
SPX500,M15,2023-06-01 21:15:00+00:00,4224.24,4225.99,4222.24,4224.49
SPX500,M15,2023-06-01 21:30:00+00:00,4224.49,4224.99,4221.99,4223.99
SPX500,M15,2023-06-01 21:45:00+00:00,4223.99,4228.99,4223.24,4228.49
