instrument,timeframe,timestamp,open,high,low,close
XAUUSD,M15,2025-01-03 04:15:00+00:00,2659.28,2663.93,2658.64,2659.29
XAUUSD,M15,2025-01-03 04:30:00+00:00,2659.3,2662.0,2658.95,2661.38
XAUUSD,M15,2025-01-03 04:45:00+00:00,2661.38,2663.02,2659.91,2662.53
XAUUSD,M15,2025-01-03 05:00:00+00:00,2662.53,2664.53,2661.31,2663.17
XAUUSD,M15,2025-01-03 05:15:00+00:00,2663.17,2665.29,2663.04,2663.58
XAUUSD,M15,2025-01-03 05:30:00+00:00,2663.6,2663.74,2662.02,2662.44
XAUUSD,M15,2025-01-03 05:45:00+00:00,2662.44,2663.54,2662.17,2662.33
XAUUSD,M15,2025-01-03 06:00:00+00:00,2662.31,2662.95,2661.75,2662.82
XAUUSD,M15,2025-01-03 06:15:00+00:00,2662.82,2664.4,2662.61,2664.03
XAUUSD,M15,2025-01-03 06:30:00+00:00,2664.03,2664.19,2662.03,2662.27
XAUUSD,M15,2025-01-03 06:45:00+00:00,2662.3,2663.11,2661.85,2662.87
XAUUSD,M15,2025-01-03 07:00:00+00:00,2662.87,2662.96,2661.13,2661.46
XAUUSD,M15,2025-01-03 07:15:00+00:00,2661.46,2661.46,2660.0,2660.53
XAUUSD,M15,2025-01-03 07:30:00+00:00,2660.53,2660.53,2658.7,2658.89
XAUUSD,M15,2025-01-03 07:45:00+00:00,2658.91,2659.02,2655.92,2658.54
XAUUSD,M15,2025-01-03 08:00:00+00:00,2658.54,2660.06,2657.74,2658.54
XAUUSD,M15,2025-01-03 08:15:00+00:00,2658.54,2659.67,2657.3,2657.36
XAUUSD,M15,2025-01-03 08:30:00+00:00,2657.3,2659.45,2656.73,2659.22
XAUUSD,M15,2025-01-03 08:45:00+00:00,2659.23,2660.33,2658.79,2659.68
XAUUSD,M15,2025-01-03 09:00:00+00:00,2659.66,2659.66,2655.58,2656.21
XAUUSD,M15,2025-01-03 09:15:00+00:00,2656.21,2656.4,2651.87,2652.8
XAUUSD,M15,2025-01-03 09:30:00+00:00,2652.8,2654.97,2652.54,2654.83
XAUUSD,M15,2025-01-03 09:45:00+00:00,2654.83,2656.07,2652.92,2654.31
XAUUSD,M15,2025-01-03 10:00:00+00:00,2654.09,2655.75,2652.08,2653.86
XAUUSD,M15,2025-01-03 10:15:00+00:00,2653.9,2654.73,2652.05,2652.56
XAUUSD,M15,2025-01-03 10:30:00+00:00,2652.56,2653.62,2651.27,2652.85
XAUUSD,M15,2025-01-03 10:45:00+00:00,2652.85,2653.47,2649.84,2652.93
XAUUSD,M15,2025-01-03 11:00:00+00:00,2652.93,2655.58,2652.8,2654.5
XAUUSD,M15,2025-01-03 11:15:00+00:00,2654.5,2655.94,2653.16,2653.92
XAUUSD,M15,2025-01-03 11:30:00+00:00,2653.92,2655.87,2653.91,2654.06
XAUUSD,M15,2025-01-03 11:45:00+00:00,2654.06,2654.7,2652.97,2653.62
XAUUSD,M15,2025-01-03 12:00:00+00:00,2653.62,2656.85,2653.54,2656.7
XAUUSD,M15,2025-01-03 12:15:00+00:00,2656.7,2657.35,2655.56,2656.17
XAUUSD,M15,2025-01-03 12:30:00+00:00,2656.15,2656.44,2653.07,2655.22
XAUUSD,M15,2025-01-03 12:45:00+00:00,2655.22,2657.92,2654.72,2657.71
XAUUSD,M15,2025-01-03 13:00:00+00:00,2657.63,2658.8,2657.31,2657.91
XAUUSD,M15,2025-01-03 13:15:00+00:00,2657.91,2659.25,2656.32,2656.92
XAUUSD,M15,2025-01-03 13:30:00+00:00,2656.91,2658.44,2656.42,2658.23
XAUUSD,M15,2025-01-03 13:45:00+00:00,2658.25,2658.74,2656.68,2657.57
XAUUSD,M15,2025-01-03 14:00:00+00:00,2657.56,2658.31,2657.11,2657.85
XAUUSD,M15,2025-01-03 14:15:00+00:00,2657.85,2657.89,2655.31,2655.66
XAUUSD,M15,2025-01-03 14:30:00+00:00,2655.69,2657.18,2654.84,2656.8
XAUUSD,M15,2025-01-03 14:45:00+00:00,2656.7,2657.51,2655.24,2655.28
XAUUSD,M15,2025-01-03 15:00:00+00:00,2655.28,2656.28,2653.48,2655.45
XAUUSD,M15,2025-01-03 15:15:00+00:00,2655.45,2656.36,2647.96,2649.53
XAUUSD,M15,2025-01-03 15:30:00+00:00,2649.63,2651.17,2643.49,2645.6
XAUUSD,M15,2025-01-03 15:45:00+00:00,2645.6,2651.46,2645.58,2649.93
XAUUSD,M15,2025-01-03 16:00:00+00:00,2649.9,2650.3,2646.94,2647.24
XAUUSD,M15,2025-01-03 16:15:00+00:00,2647.24,2649.43,2645.13,2649.2
XAUUSD,M15,2025-01-03 16:30:00+00:00,2649.32,2652.64,2648.43,2650.88
XAUUSD,M15,2025-01-03 16:45:00+00:00,2650.84,2650.84,2646.12,2647.91
XAUUSD,M15,2025-01-03 17:00:00+00:00,2647.78,2648.25,2643.35,2645.79
XAUUSD,M15,2025-01-03 17:15:00+00:00,2645.77,2646.11,2641.0,2642.36
XAUUSD,M15,2025-01-03 17:30:00+00:00,2642.36,2646.07,2642.02,2645.08
XAUUSD,M15,2025-01-03 17:45:00+00:00,2645.04,2645.8,2643.39,2643.87
XAUUSD,M15,2025-01-03 18:00:00+00:00,2643.88,2647.29,2643.36,2643.52
XAUUSD,M15,2025-01-03 18:15:00+00:00,2643.5,2643.53,2640.66,2641.26
XAUUSD,M15,2025-01-03 18:30:00+00:00,2641.25,2643.55,2641.0,2642.27
XAUUSD,M15,2025-01-03 18:45:00+00:00,2642.22,2642.22,2639.11,2639.96
XAUUSD,M15,2025-01-03 19:00:00+00:00,2639.97,2642.64,2639.47,2641.46
XAUUSD,M15,2025-01-03 19:15:00+00:00,2641.41,2642.26,2640.56,2641.75
XAUUSD,M15,2025-01-03 19:30:00+00:00,2641.83,2642.08,2639.13,2640.94
XAUUSD,M15,2025-01-03 19:45:00+00:00,2640.94,2642.31,2640.91,2641.8
XAUUSD,M15,2025-01-03 20:00:00+00:00,2641.8,2642.22,2640.05,2640.35
XAUUSD,M15,2025-01-03 20:15:00+00:00,2640.34,2641.27,2639.78,2641.26
XAUUSD,M15,2025-01-03 20:30:00+00:00,2641.25,2642.34,2641.08,2641.47
XAUUSD,M15,2025-01-03 20:45:00+00:00,2641.48,2642.1,2641.0,2641.9
XAUUSD,M15,2025-01-03 21:00:00+00:00,2641.8,2642.98,2641.15,2642.0
XAUUSD,M15,2025-01-03 21:15:00+00:00,2641.94,2642.15,2640.59,2641.3
XAUUSD,M15,2025-01-03 21:30:00+00:00,2641.3,2642.13,2640.82,2641.06
XAUUSD,M15,2025-01-03 21:45:00+00:00,2641.06,2641.34,2639.08,2639.49
XAUUSD,M15,2025-01-03 22:00:00+00:00,2639.43,2640.13,2638.55,2639.22
XAUUSD,M15,2025-01-03 22:15:00+00:00,2639.22,2639.68,2638.51,2639.28
XAUUSD,M15,2025-01-03 22:30:00+00:00,2639.28,2639.7,2637.2,2638.17
XAUUSD,M15,2025-01-03 22:45:00+00:00,2638.23,2638.44,2636.92,2638.15
XAUUSD,M15,2025-01-03 23:00:00+00:00,2638.2,2638.57,2637.29,2637.47
XAUUSD,M15,2025-01-03 23:15:00+00:00,2637.47,2637.76,2637.05,2637.62
XAUUSD,M15,2025-01-03 23:30:00+00:00,2637.63,2639.85,2636.56,2639.81
XAUUSD,M15,2025-01-03 23:45:00+00:00,2639.77,2640.72,2638.95,2639.6
XAUUSD,M15,2025-01-06 01:00:00+00:00,2640.41,2641.37,2638.9,2641.06
XAUUSD,M15,2025-01-06 01:15:00+00:00,2640.91,2642.37,2640.86,2641.68
XAUUSD,M15,2025-01-06 01:30:00+00:00,2641.71,2642.26,2640.39,2642.05
XAUUSD,M15,2025-01-06 01:45:00+00:00,2642.05,2642.21,2640.57,2641.05
XAUUSD,M15,2025-01-06 02:00:00+00:00,2640.94,2641.69,2638.97,2639.2
XAUUSD,M15,2025-01-06 02:15:00+00:00,2639.2,2640.08,2638.65,2639.39
XAUUSD,M15,2025-01-06 02:30:00+00:00,2639.38,2639.91,2638.92,2639.15
XAUUSD,M15,2025-01-06 02:45:00+00:00,2639.13,2643.35,2638.95,2643.16
XAUUSD,M15,2025-01-06 03:00:00+00:00,2643.16,2644.8,2640.72,2644.59
XAUUSD,M15,2025-01-06 03:15:00+00:00,2644.58,2647.36,2644.58,2645.54
XAUUSD,M15,2025-01-06 03:30:00+00:00,2645.46,2645.56,2642.82,2643.44
XAUUSD,M15,2025-01-06 03:45:00+00:00,2643.68,2644.03,2641.22,2641.35
XAUUSD,M15,2025-01-06 04:00:00+00:00,2641.28,2644.2,2639.77,2643.72
XAUUSD,M15,2025-01-06 04:15:00+00:00,2643.7,2644.41,2642.0,2643.42
XAUUSD,M15,2025-01-06 04:30:00+00:00,2643.42,2645.28,2642.96,2644.13
XAUUSD,M15,2025-01-06 04:45:00+00:00,2644.14,2644.98,2643.5,2644.52
XAUUSD,M15,2025-01-06 05:00:00+00:00,2644.52,2645.31,2643.37,2643.86
XAUUSD,M15,2025-01-06 05:15:00+00:00,2643.85,2643.85,2640.83,2642.15
XAUUSD,M15,2025-01-06 05:30:00+00:00,2642.15,2642.19,2639.95,2640.66
XAUUSD,M15,2025-01-06 05:45:00+00:00,2640.66,2641.17,2639.21,2640.15
XAUUSD,M15,2025-01-06 06:00:00+00:00,2640.14,2640.83,2637.43,2638.15
XAUUSD,M15,2025-01-06 06:15:00+00:00,2638.26,2638.78,2635.24,2637.92
XAUUSD,M15,2025-01-06 06:30:00+00:00,2637.92,2638.56,2636.03,2636.84
XAUUSD,M15,2025-01-06 06:45:00+00:00,2636.84,2637.28,2634.48,2635.45
XAUUSD,M15,2025-01-06 07:00:00+00:00,2635.45,2636.25,2634.37,2634.89
XAUUSD,M15,2025-01-06 07:15:00+00:00,2634.89,2635.81,2634.19,2634.3
XAUUSD,M15,2025-01-06 07:30:00+00:00,2634.31,2635.0,2632.31,2633.36
XAUUSD,M15,2025-01-06 07:45:00+00:00,2632.89,2634.24,2631.51,2633.93
XAUUSD,M15,2025-01-06 08:00:00+00:00,2633.93,2635.29,2633.33,2634.4
XAUUSD,M15,2025-01-06 08:15:00+00:00,2634.4,2635.17,2630.75,2631.45
XAUUSD,M15,2025-01-06 08:30:00+00:00,2631.45,2632.1,2630.28,2631.72
XAUUSD,M15,2025-01-06 08:45:00+00:00,2631.72,2632.5,2631.1,2631.53
XAUUSD,M15,2025-01-06 09:00:00+00:00,2631.53,2633.7,2631.29,2632.14
XAUUSD,M15,2025-01-06 09:15:00+00:00,2632.16,2632.21,2630.15,2631.0
XAUUSD,M15,2025-01-06 09:30:00+00:00,2631.01,2631.14,2625.14,2625.72
XAUUSD,M15,2025-01-06 09:45:00+00:00,2625.72,2627.74,2625.49,2626.91
XAUUSD,M15,2025-01-06 10:00:00+00:00,2626.8,2628.2,2625.84,2627.91
XAUUSD,M15,2025-01-06 10:15:00+00:00,2628.07,2630.0,2627.28,2629.74
XAUUSD,M15,2025-01-06 10:30:00+00:00,2629.74,2630.68,2627.28,2627.94
XAUUSD,M15,2025-01-06 10:45:00+00:00,2627.94,2632.51,2627.42,2631.56
XAUUSD,M15,2025-01-06 11:00:00+00:00,2631.42,2635.1,2631.24,2634.88
XAUUSD,M15,2025-01-06 11:15:00+00:00,2634.9,2635.73,2633.18,2633.3
XAUUSD,M15,2025-01-06 11:30:00+00:00,2633.3,2634.49,2632.6,2633.77
XAUUSD,M15,2025-01-06 11:45:00+00:00,2633.58,2633.69,2631.66,2632.74
XAUUSD,M15,2025-01-06 12:00:00+00:00,2632.74,2633.34,2631.27,2631.4
XAUUSD,M15,2025-01-06 12:15:00+00:00,2631.4,2633.49,2631.25,2632.75
XAUUSD,M15,2025-01-06 12:30:00+00:00,2632.71,2633.04,2630.97,2632.94
XAUUSD,M15,2025-01-06 12:45:00+00:00,2632.94,2635.02,2632.25,2633.77
XAUUSD,M15,2025-01-06 13:00:00+00:00,2633.75,2637.15,2632.59,2636.3
XAUUSD,M15,2025-01-06 13:15:00+00:00,2636.28,2645.22,2636.15,2644.79
XAUUSD,M15,2025-01-06 13:30:00+00:00,2644.79,2649.39,2643.44,2648.86
XAUUSD,M15,2025-01-06 13:45:00+00:00,2648.82,2649.33,2644.96,2645.55
XAUUSD,M15,2025-01-06 14:00:00+00:00,2645.52,2646.97,2642.59,2643.82
XAUUSD,M15,2025-01-06 14:15:00+00:00,2643.84,2645.36,2642.3,2642.34
XAUUSD,M15,2025-01-06 14:30:00+00:00,2642.34,2646.67,2642.01,2644.7
XAUUSD,M15,2025-01-06 14:45:00+00:00,2644.73,2647.83,2642.6,2645.43
XAUUSD,M15,2025-01-06 15:00:00+00:00,2645.38,2648.75,2643.46,2645.99
XAUUSD,M15,2025-01-06 15:15:00+00:00,2645.98,2646.32,2641.85,2642.33
XAUUSD,M15,2025-01-06 15:30:00+00:00,2642.3,2642.49,2624.25,2624.74
XAUUSD,M15,2025-01-06 15:45:00+00:00,2624.59,2627.3,2621.87,2624.13
XAUUSD,M15,2025-01-06 16:00:00+00:00,2624.17,2629.99,2622.66,2626.89
XAUUSD,M15,2025-01-06 16:15:00+00:00,2626.93,2628.63,2614.75,2625.75
XAUUSD,M15,2025-01-06 16:30:00+00:00,2625.73,2628.5,2622.59,2624.1
XAUUSD,M15,2025-01-06 16:45:00+00:00,2624.23,2634.83,2624.23,2631.55
XAUUSD,M15,2025-01-06 17:00:00+00:00,2631.54,2635.49,2630.24,2631.56
XAUUSD,M15,2025-01-06 17:15:00+00:00,2631.56,2639.59,2629.37,2639.06
XAUUSD,M15,2025-01-06 17:30:00+00:00,2639.06,2639.54,2633.18,2635.12
XAUUSD,M15,2025-01-06 17:45:00+00:00,2635.19,2636.72,2632.19,2634.32
XAUUSD,M15,2025-01-06 18:00:00+00:00,2634.32,2637.38,2632.54,2636.89
XAUUSD,M15,2025-01-06 18:15:00+00:00,2636.89,2638.9,2635.37,2638.48
XAUUSD,M15,2025-01-06 18:30:00+00:00,2638.5,2640.81,2638.21,2640.29
XAUUSD,M15,2025-01-06 18:45:00+00:00,2640.29,2641.28,2638.64,2640.76
XAUUSD,M15,2025-01-06 19:00:00+00:00,2640.76,2641.03,2638.84,2639.51
XAUUSD,M15,2025-01-06 19:15:00+00:00,2639.51,2640.1,2636.73,2637.29
XAUUSD,M15,2025-01-06 19:30:00+00:00,2637.33,2637.44,2635.74,2635.98
XAUUSD,M15,2025-01-06 19:45:00+00:00,2635.96,2636.9,2634.19,2636.65
XAUUSD,M15,2025-01-06 20:00:00+00:00,2636.69,2637.44,2633.78,2635.38
XAUUSD,M15,2025-01-06 20:15:00+00:00,2635.43,2638.55,2635.1,2636.29
XAUUSD,M15,2025-01-06 20:30:00+00:00,2636.21,2636.99,2634.75,2636.14
XAUUSD,M15,2025-01-06 20:45:00+00:00,2636.14,2636.56,2634.55,2634.6
XAUUSD,M15,2025-01-06 21:00:00+00:00,2634.61,2634.79,2632.92,2633.9
XAUUSD,M15,2025-01-06 21:15:00+00:00,2633.9,2634.94,2633.46,2634.5
XAUUSD,M15,2025-01-06 21:30:00+00:00,2634.42,2635.16,2633.63,2635.13
XAUUSD,M15,2025-01-06 21:45:00+00:00,2635.13,2635.49,2633.82,2634.38
XAUUSD,M15,2025-01-06 22:00:00+00:00,2634.36,2634.9,2633.21,2634.1
XAUUSD,M15,2025-01-06 22:15:00+00:00,2634.06,2635.44,2633.59,2634.14
XAUUSD,M15,2025-01-06 22:30:00+00:00,2634.14,2634.53,2633.26,2634.52
XAUUSD,M15,2025-01-06 22:45:00+00:00,2634.52,2634.8,2633.76,2634.45
XAUUSD,M15,2025-01-06 23:00:00+00:00,2634.51,2636.37,2634.51,2636.34
XAUUSD,M15,2025-01-06 23:15:00+00:00,2636.33,2636.95,2636.08,2636.72
XAUUSD,M15,2025-01-06 23:30:00+00:00,2636.73,2636.95,2635.89,2635.97
XAUUSD,M15,2025-01-06 23:45:00+00:00,2635.97,2636.25,2635.54,2635.99
XAUUSD,M15,2025-01-07 01:00:00+00:00,2636.24,2636.33,2635.35,2635.64
XAUUSD,M15,2025-01-07 01:15:00+00:00,2635.64,2635.64,2634.82,2634.87
XAUUSD,M15,2025-01-07 01:30:00+00:00,2634.87,2634.9,2634.04,2634.17
